OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-0130469525,"Hook Pond (QW Site 10) at East Hampton, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.95308330000000,-72.1843888900000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0130469550,"Hook Pond (QW Site 3) at East Hampton, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.94894444000000,-72.1892777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0130469575,"Hook Pond (QW Site 7) at East Hampton, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.94547220000000,-72.1900000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304702,"GEORGICA POND AT MIDHAMPTON, NY","Lake, Reservoir, Impoundment",,02030202,10.2,sq mi,,,40.95009967000000,-72.2389696800000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304705,GEORGICA POND NEAR APAQUOQUE NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.93319444000000,-72.2244444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,5,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304738,"MILL POND AT WATER MILL, NY","Lake, Reservoir, Impoundment",,02030202,4.02,sq mi,,,40.90982240000000,-72.3625842000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304740,MECOX BAY AT FLYING POINT NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.89511110000000,-72.3453611000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304958,"WEST MILLPOND AT MASTIC, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.80648760000000,-72.8331578000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304970,PINE LAKE NEAR MIDDLE ISLAND NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.88898757000000,-72.9670489800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304980,ARTIST LAKE AT MIDDLE ISLAND NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.88482086000000,-72.9323261000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306250,"SAYVILLE INCINERATOR LAKE AT BOHEMIA, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.78009827000000,-73.0823327000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306405,LAKE RONKONKOMA AT LAKE RONKONKOMA NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.83259827000000,-73.1256664800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306410,"LAKE RONKONKOMA AT LAKE RONKONKOMA, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.83176490000000,-73.1270554000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306415,LAKE RONKONKOMA AT RONKONKOMA NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.82259827000000,-73.1189998000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01307585,"CASCADE LAKES AT BRIGHTWATERS, NY 307585","Lake, Reservoir, Impoundment",,02030202,,,,,40.71676550000000,-73.2676176900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01307595,"CASCADE LAKE AT BRIGHTWATERS, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.71537666000000,-73.2662288000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01307598,"CASCADE LAKES AT BRIGHTWATERS, NY 307598","Lake, Reservoir, Impoundment",,02030202,,,,,40.71259889000000,-73.2617842000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01308410,SUFFOLK COUNTY RECHARGE BASIN NO.70 AT DEER PARK,"Lake, Reservoir, Impoundment",,02030202,,,,,40.76676527000000,-73.3253967000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01308470,"ELDA LAKE OUTLET AT NORTH BABYLON, NY","Lake, Reservoir, Impoundment",,02030202,,,,,40.71482150000000,-73.3278974000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309415,NASSAU COUNTY RECHARGE BASIN NUMBER 377,"Lake, Reservoir, Impoundment",,02030202,,,,,40.80371030000000,-73.4956793000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01310794,HEMPSTEAD LAKE AT HEMPSTEAD (HL-3),"Lake, Reservoir, Impoundment",,02030202,,,,,40.69704639000000,-73.6306845000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131079450,HEMPSTEAD LAKE AT HEMPSTEAD NY,"Lake, Reservoir, Impoundment",,02030202,17.1,sq mi,,,40.67280556000000,-73.6469167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,.10,feet,Level or other surveyed method.,NAVD88,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01310805,HEMPSTEAD LAKE AT HEMPSTEAD (HL-1),"Lake, Reservoir, Impoundment",,02030202,,,,,40.66426939000000,-73.6537408800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01312568,CARRY POND NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.68202778000000,-74.4885556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2140,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313290,SIXTH LAKE AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.89006398000000,-74.2245956000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313310,FIFTH LAKE AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.88673070000000,-74.2354294000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313330,FOURTH LAKE AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.88200856000000,-74.2398738800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313350,DEER POND AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.88061960000000,-74.2676528900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313370,THIRD LAKE AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.87145300000000,-74.2626523800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313390,SECOND LAKE AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.86617525000000,-74.2670968000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01313410,FIRST LAKE AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.86034190000000,-74.2757081000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01314160,WHITAKER LAKE AT DAM NEAR PISECO NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.56728915000000,-74.3854254000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01314265,MASON LAKE AT DAM NEAR SPECULATOR NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.59201144000000,-74.4273729900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01314335,LEWEY LAKE AT BRIDGE AT INDIAN LAKE CAMPGROUND,"Lake, Reservoir, Impoundment",,02020001,,,,,43.65228820000000,-74.3898730000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01314500,INDIAN LAKE NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,131,sq mi,,,43.75562018000000,-74.2759825000000,24000,1,seconds,Interpolated from MAP.,NAD83,0.00,feet,.10,feet,Level or other surveyed method.,NAVD88,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315020,ROUND POND AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.67645390000000,-74.2462556000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315064,LAKE ABANAKEE NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,184,sq mi,,,43.76125000000000,-74.2512777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315065,ADIRONDACK LAKE AT DAM AT INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.78117560000000,-74.2554269000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315072,LAKE ABANAKEE AT RT28 BRIDGE NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,188,sq mi,,,43.78475000000000,-74.2396667000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-0131507205,BIG BADLUCK POND AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.79589750000000,-74.1593111000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315075,LAKE FRANCIS AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.79200880000000,-74.2065358000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315100,OK SLIP POND AT DAM NEAR INDIAN LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.80006407000000,-74.1212536800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315130,BOREAS PONDS AT DAM NEAR TAHAWUS NY,"Lake, Reservoir, Impoundment",,02020001,,,,,44.00867010000000,-73.9340297000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315155,WOLF POND AT DAM NEAR BOREAS RIVER,"Lake, Reservoir, Impoundment",,02020001,,,,,43.95728256000000,-73.9326392000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315210,STONY POND AT DAM NEAR MINERVA NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.83895197000000,-73.9851370000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315375,PEAKED MOUNTAIN POND AT DAM NEAR NORTH RIVER,"Lake, Reservoir, Impoundment",,02020001,,,,,43.70867590000000,-74.1268063000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315390,THIRTEENTH LAKE AT DAM NEAR NORTH RIVER,"Lake, Reservoir, Impoundment",,02020001,,,,,43.71728697000000,-74.1176394800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315492,LONG POND AT DAM NEAR NORTH RIVER,"Lake, Reservoir, Impoundment",,02020001,,,,,43.74284229000000,-74.0134680000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315494,FULLER POND AT DAM NEAR NORTH RIVER,"Lake, Reservoir, Impoundment",,02020001,,,,,43.74117560000000,-74.0029118800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315496,CARTER POND AT DAM NEAR NORTH RIVER,"Lake, Reservoir, Impoundment",,02020001,,,,,43.72895350000000,-74.0084674000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01315970,CHATIEMAC LAKE AT DAM NEAR SODOM NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.64534306000000,-74.0462446700000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316011,ROUND POND AT DAM NEAR GARNET LAKE,"Lake, Reservoir, Impoundment",,02020001,,,,,43.50423309000000,-74.0070722000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316013,GARNET LAKE AT DAM AT GARNET LAKE NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.53812170000000,-74.0129067000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316035,KELLUM POND AT DAM NEAR WARRENSBURG NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.55673425000000,-73.7845669000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316039,PACK FOREST LAKE AT DAM NEAR WARRENSBURG NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.55201188000000,-73.8112342000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316043,BEAR POND AT DAM NEAR STONY CREEK NY,"Lake, Reservoir, Impoundment",,02020001,,,,,43.49812270000000,-73.9179025000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316052,ASH CRAFT POND AT DAM NEAR UNDERWOOD NY,"Lake, Reservoir, Impoundment",,02020001,,,,,44.10338616000000,-73.6215199000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01316057,NEW POND AT DAM AT UNDERWOOD NY,"Lake, Reservoir, Impoundment",,02020001,,,,,44.09783058000000,-73.6592986000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,031,,,,,,,,,,NWIS
